"%s codes deleted","smazáno %s kódů"
"%s codes imported","importováno %s kódů"
"%s codes not imported","nebylo importováno %s kódů"
"%s product in feed.","%s produktů zahrnuto do feedu"
"%s product not in feed.","%s produktů nebylo zahrnuto do feedu."
"Add new","Přidat nový"
"Attrib. Set Name","Nastavení jména atributu"
"Attributes map","Mapa atributů"
"Cron Frequency","Frekvence cronu"
"Cron Hour","Hodina cronu"
"Delete","Smazat"
"Eav code","Eav kód"
"FTP Password","FTP heslo"
"FTP Path","FTP Cesta"
"FTP Server","FTP Server"
"FTP Settings","FTP Nastavení"
"FTP User","FTP uživatel"
"FTP: Can't delete files","FTP: nelze odstranit soubory"
"Feed","Feed"
"Feed code","Kód feedu"
"ID","ID"
"Import","import"
"Import attribute map","Importovat mapu atributů"
"Import code","Importovat kód"
"In feed","Ve feedu"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Aby jste mohli získat přístup k informacím o vašem FTP účtu, musíte si svůj obchod nejdříve zaregistrovat a nechat ověřit na TheFind Merchant Center. Pro začátek kliněte <a href=""https://merchant.thefind.com/mc/claim.fhtml"">zde</a>."
"Is imported","Je importováno"
"Item params","Parametry položky"
"Manage attributes","Správa atributů"
"Manage items","Správa položek"
"Not import","Neimportováno"
"Not publish","Nepublikováno"
"Price","Cena"
"Product Name","Název produktu"
"Product import","Import produktu"
"Publish","Publikovat"
"SKU","SKU"
"Settings","Nastavení"
"The Find","Hledání"
"TheFind Feed Filename","Název feedu TheFind"
"TheFind feed","Feed TheFind"
"Type","Typ"
"Unable to process an import. ","Nepodařilo se zpracovat import"
"Update TheFind Item when Product is Updated","Aktualizovat položku v TheFind po dokončení úprav produktu"
