"--Please Select--","-- Prosím vyberte --"
"API Login ID","API ID přihlášení"
"Accepted Currency","Přijímané měny"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Card Verification Number Visual Reference","Ověřovací číslo karty"
"Close","Zavřít"
"Credit Card Information","Informace o platební kartě"
"Credit Card Number","Číslo platební karty"
"Credit Card Type","Typ platební karty"
"Credit Card Types","Typy platební karty"
"Credit Card Verification","Ověření platební karty"
"Debug","Ladění"
"Email Customer","Email zákazníka"
"Enabled","Povoleno"
"Expiration Date","Konec platnosti"
"Gateway URL","URL brány"
"Maximum Order Total","Maximální částka objednávky"
"Merchant MD5","Obchodník MD5"
"Merchant's Email","Email obchodníka"
"Minimum Order Total","Minimální částka objednávky"
"New Order Status","Nový stav objednávky"
"Order saving error: %s","Chyba při ukládání objednávky: %s"
"Payment Action","Platební akce"
"Payment authorization error.","Chyba při autorizaci platby."
"Payment authorization error. Transacion id is empty.","Chyba při autorizaci platby. ID transakce je prázdné."
"Payment error. Order was not found.","Chyba platby. Objednávka nenalezena."
"Payment error. Paid amount doesn't match the order amount.","Chyba platby. Částka platby neodpovídá částce objednávky."
"Payment from Applicable Countries","Platby z povolených zemí"
"Payment from Specific Countries","Placení z vybrané země"
"Please, choose payment method","Vyberte prosím způsob platby"
"Response hash validation failed. Transaction declined.","Ověření odpovědi selhalo. Platba byla zamítnuta."
"Sort Order","Řazení"
"Test Mode","Testovací režim"
"The order has been created.","Objednávka byla vytvořena."
"There was an error processing your order. Please contact us or try again later.","Nastala chyba při zpracování Vaší objednávky. Prosím zkuste to znovu později, nebo nás kontaktujte."
"Title","Nadpis"
"Transaction Key","Klíč transakce"
"What is this?","Co to je?"
"You will be required to enter your payment details before you place an order.","Budou vyžadovány detaily o platbě před odesláním objednávky."
