"Add","Přidat"
"Add gift options","Přidat možnosti přání"
"Add gift options for Individual Items","Přidat možnosti přání pro jednotlivé položky"
"Add gift options for the Entire Order","Přidat dárkové přání k objednávce"
"Add gift options.","Přidat možnosti přání."
"Allow Gift Messages for Order Items","Povolit přání pro objednané položky"
"Allow Gift Messages on Order Level","Povolit přání pro objednávku"
"An error occurred while saving the gift message.","Chyba při ukládání přání."
"Are you sure?","Jste si jisti?"
"Cancel","Zrušit"
"Do you have any gift items in your order?","Máte ve Vaší objednávce nějaký dárek?"
"Edit","Upravit"
"From","Od"
"Gift Message","Přání"
"Gift Options","Možnosti přání"
"Gift Options for","Možnosti přání pro"
"Gift Options for Individual Items","Možnosti přání pro jednotlivé položky"
"Gift Options for the Entire Order.","Možnosti přání pro objednávku."
"Gift Options for this address.","Vložte přání pro tuto adresu."
"Item %d of %d","Položka %d z %d"
"Message","Zpráva"
"No","Ne"
"OK","OK"
"Save Gift Message","Uložit přání"
"The gift message has been removed","Vaše přání bylo úspěšně odebráno"
"The gift message has been saved","Vaše přání bylo úspěšně uloženo"
"The gift message has been saved.","Vaše přání bylo úspěšně uloženo."
"To","Pro"
"Unknown entity type","Neznámý typ vlastnosti"
"Use config","Použít nastavení"
"Yes","Ano"
"You can leave this box blank if you do not wish to add a gift message for the item.","Ponechte tento box prázdný, pokud nechcete přidat k položce přání."
"You can leave this box blank if you do not wish to add a gift message for this address.","Ponechte tento box prázdný, pokud nechcete přidat k této adrese přání."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Ponechte tento box prázdný, pokud nechcete přidat k objednávce přání."
"Check this checkbox if you want to add gift messages to your items.","#~ ""Zaškrtněte toto pole pokud chcete přidat dárkové přání k Vašim položkám."""
"Check this checkbox if you want to add gift messages.","Zaškrtněte toto pole pokud chcete přidat dárkové přání."
"Enter a gift message for each item in your order.","Vložte přání pro vybranou položku z Vaší objednávky."
"Gift Messages","Přání"
"Gift message has been successfully saved","Přání bylo úspěšně uloženo"
"Your gift message successfully removed","Vaše přání bylo úspěšně odebráno"
"Your gift message successfully saved","Vaše přání bylo úspěšně uloženo"
"* Required Fields","* Povinná pole"
"Add Gift Message","Přidat zprávu k dárku"
"Close","Zavřít"
"Edit Gift Message","Upravit dárkové přání"
"Remove","Odstranit"
"Save","Uložit"
