"Alert Email Sender","Odesilatel varovného emailu"
"Alert subscription has been saved.","Odebírání upozornění úspěšně uloženo."
"Allow Alert When Product Comes Back in Stock","Povolit upozorňování pokud je produk opět skladem"
"Allow Alert When Product Price Changes","Povolit upozorňování pokud se cena změní"
"Click here not to receive alerts for this product","Klepněte zde pro zrušení hlídání této položky"
"Error Email Recipient","Chyba E-mailového příjemce"
"Error Email Sender","Chyba E-mailového odesilatele"
"Error Email Template","Chyba v emailové šabloně"
"Frequency","Četnost"
"Not enough parameters.","Nedostatek parametrů."
"Price Alert Email Template","Šablona emailu cenového upozornění"
"Price:","Cena:"
"Product Alerts","Výstrahy pro produkt"
"Product Alerts Run Settings","Nastavení běhu produktového upozorňování"
"Product alerts Cron error","Chyba Cronu při produktovém upozorňování"
"Product price alert","Upozornění na cenu produktu"
"Product stock alert","Upozornění na stav skladu produktu"
"Regular Price:","Běžná cena:"
"Sign up for price alert","Odebírat upozornění na cenu"
"Sign up to get notified when this product is back in stock","Odebírat upozornění pokud je zboží opět skladem"
"Special price:","Zvláštní cena:"
"Start Time","Doba startu"
"Stock Alert Email Template","Šablona emailu skladového upozornění"
"The alert subscription has been deleted.","Odebírání ulozornění bylo úspěšně smazáno."
"The alert subscription has been saved.","Přihlášení k odběru upozornění bylo úspěšně uloženo."
"The product is not found.","Produkt nenalezen."
"The product was not found.","Produkt nenalezen."
"Unable to update the alert subscription.","Nelze aktualizovat odběr upozornění."
"Unsubscribe from all price alerts","Odhlásit z hlídání všech cen"
"Unsubscribe from all stock alerts","Odhlásit z hlídání všech stavů skladu"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Obdržel jste tuto zprávu proto, že jste se přihlásil k odběru upozorňění pokud bude zboží opět na skladě:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Obdržel jste tuto zprávu proto, že jste chtěl být upozorněn, pokud dojde ze změně ceny následujících produktů:"
"You will no longer receive price alerts for this product.","Nebudete již nadále dostávat upozorňování na změnu ceny tohoto produktu."
"You will no longer receive stock alerts for this product.","Nebudete nadále dostávat upozornění na změnu stavu zásob tohoto výrobku."
"You will no longer receive stock alerts.","Nebudete již nadále dostávat upozornění na změnu stavu skladu."
"Please try again later","Prosím zkuste to později"
