"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Pravidla pro košík založených na vlastnosti ""%s"" jsou vypnuta."
"Actions","Události"
"Active","Aktivní"
"Add New Rule","Přidat nové pravidlo"
"Apply","Použít"
"Apply To","Použít na"
"Apply the rule only if the following conditions are met (leave blank for all products)","Použít pravidlo pouze pokud budou splněny následující podmínky (nechte prázdné pro všechny produkty)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Použít pravidlo pouze pokud položky v košíku obsahují následující podmínky (nechte prázdné pro všechny položky)"
"Apply the rule to cart items matching the following conditions","Použít pravidlo pro položky košíku obsahující následující podmínky"
"Apply to Shipping Amount","Použít na částku přepravy"
"Auto","Automaticky"
"Buy X get Y free (discount amount is Y)","Kupte X dostanete Y zdarma (množstevní sleva je Y)"
"By Fixed Amount","Podle pevné hodnoty"
"By Fixed value","Podle pevné hodnoty"
"By Percentage","Podle procent"
"By Percentage of the Original Price","Procentuálně z původní ceny"
"Can't acquire coupon.","Kupón nelze použít."
"Cart Attribute","Vlastnosti košíku"
"Catalog","Katalog"
"Conditions","Podmínky"
"Conditions combination","Kombinace podmínek"
"Coupon","Kód kupónu"
"Coupon Code","Kód kupónu"
"Customer Groups","Skupiny zákazníků"
"Customer is new buyer: %s","Zákazník je nový nakupující: %s"
"Customer registered: %s","Zákazník registrován: %s"
"Date Expire","Datum vyprší"
"Date Start","Datum začátku"
"Default Label","Výchozí nápis"
"Default Rule Label for All Store Views","Výchozí nápis pravidla pro všechny obchody"
"Delete Rule","Smazat pravidlo"
"Description","Popis"
"Description: %s","Popis: %s"
"Discount Amount","Množstevní sleva"
"Discount Qty Step (Buy X)","Množstevní sleva Krok (Koupit X)"
"Edit Rule","Upravit pravidlo"
"Edit Rule '%s'","Upravit pravidlo '%s'"
"Expire at: %s","Vyprší: %s"
"Fixed amount discount","Pevné množstevní slevy"
"Fixed amount discount for whole cart","Pevná množstevní sleva pro celý košík"
"For matching items only","Jen pro odpovídající položky"
"For shipment with matching items","Pro doručení s odpovídajícími položkami"
"Free Shipping","Dodání zdarma"
"From Date","Od data"
"General Information","Všeobecné informace"
"ID","ID"
"Inactive","Neaktivní"
"Item totals are not set for rule.","Není stanoveno pravidlo pro součet položek."
"Labels","Etikety"
"Maximum Qty Discount is Applied To","Maximální množství sleva je použita na"
"NOT LOGGED IN","NEPŘIHLÁŠEN"
"Name: %s","Název: %s"
"New Rule","Nové pravidlo"
"No","Ne"
"No Coupon","Bez kupónu"
"Number of Uses","Počet použití"
"Payment Method","Platební metoda"
"Percent of product price discount","Sleva v procentech"
"Period","Období"
"Price in cart","Cena v košíku"
"Priority","Priorita"
"Product attribute combination","Kombinace vlastností produktu"
"Products subselection","Podvýběr produktů"
"Promotions","Propagace"
"Public In RSS Feed","Uveřejnit v RSS kanálu"
"Quantity in cart","Množství v košíku"
"Row total in cart","Celkem řádků v košíku"
"Rule Information","Informace o pravidlech"
"Rule Name","Jméno pravidla"
"Sales Discount Amount","Množstevní sleva"
"Sales Subtotal Amount","Mezisoučet slevy"
"Sales Total Amount","Sleva celkem"
"Save Rule","Uložit pravidlo"
"Save and Continue Edit","Uložit a pokračovat v úpravách"
"Shipping Country","Země doručení"
"Shipping Method","Způsob dodání"
"Shipping Postcode","PSČ doručení"
"Shipping Region","Kraj doručení"
"Shipping State/Province","Doručit do Kraje/Regionu"
"Shopping Cart Price Rule","Pravidla cen pro nákupní košík"
"Shopping Cart Price Rules","Pravidla cen pro nákupní košík"
"Special Price","Akční cena"
"Specific Coupon","Zvláštní kupón"
"Start at: %s","Začátek: %s"
"Status","Stav"
"Stop Further Rules Processing","Zastavit zpracování dalších pravidel"
"Store View Specific Labels","Zobrazit specifické etikety pro obchod"
"Subtotal","Součet"
"Subtotal Amount","Mezisoučet"
"The rule has been deleted.","Pravidlo bylo smazáno."
"The rule has been saved.","Pravidlo bylo uloženo."
"This rule no longer exists.","Tato pravidlo již neexistuje."
"To Date","do data"
"To Fixed Amount","Pro pevné množství"
"To Fixed Value","Pevnou hodnotou"
"To Percentage","Procentně"
"To Percentage of the Original Price","Pro procenta z původní ceny"
"Total","Celkem"
"Total Amount","Celková částka"
"Total Items Quantity","Celkové množství položek"
"Total Weight","Celková váha"
"Unable to find a rule to delete.","Nenalezeno pravidlo k smazání."
"Update Prices Using the Following Information","Aktualizovat cenu s použitím následujících informací"
"Update prices using the following information","Aktualizovat cenu s použitím následujících informací"
"Update product's %s %s: %s","Aktualizovat produktové %s %s: %s"
"Update the Product","Aktualizovat produkt"
"Uses per Coupon","Použití kupónu"
"Uses per Customer","Použití na zákazníka"
"Wrong rule specified.","Nesprávně stanovené pravidlo."
"Yes","Ano"
"Coupon code","Kód kupónu"
"Rule was successfully deleted","Pravidlo bylo úspěšně odstraněno"
"Rule was successfully saved","Pravidlo bylo úspěšně uloženo"
