"Add Recipient","Přidat příjemce"
"Allow for Guests","Dovolit pro návštěvníky"
"An invalid email address for recipient was entered.","Zadali jste špatnou emailovou adresu příjemce."
"At least one recipient must be specified.","Musí být vybrán alespoň jeden příjemce."
"Back","Zpět"
"Catalog Product Email to a Friend","Poslat známému"
"Email Address","Emailová adresa"
"Email Address:","Emailová adresa:"
"Email Templates","Šablony emailu"
"Email to a Friend","Poslat známému"
"Email:","Email:"
"Enabled","Aktivní"
"Invalid Sender Information","Neplatné informace o odesílateli"
"Invalid sender email.","Neplatný email odesílatele."
"Limit Sending By","Omezené odesílání na"
"Max Products Sent in 1 Hour","Maximálně odesláno produktů za 1 hodinu"
"Max Recipients","Maximálně příjemců"
"Maximum %d email addresses allowed.","Maximální povolené množství emailů: %d."
"Message:","Zpráva:"
"Name","Jméno"
"Name:","Jméno:"
"No more than %d emails can be sent at a time.","Nemůžete odeslat více jak %d emailů za daný čas."
"Please define a correct Cookie instance.","Prosím definujte správnou instanci Cookie."
"Please define a correct Product instance.","Prosím definujte správnou instanci produktu."
"Please define the correct Sender information.","Prosím definujte správné informace o odesílateli."
"Recipient:","Příjemce:"
"Remove Email","Odebrat email"
"Select Email Template","Vybrat šablonu emailu"
"Send Email","Poslat email"
"Send product to a friend","Poslat produkt příteli"
"Sender:","Odesilatel:"
"Some emails were not sent.","Některé emaily nebyly odeslány."
"The link to a friend was sent.","Vašemu známému byl odeslán odkaz."
"The message cannot be empty.","Zpráva nesmí být prázdná."
"The messages cannot be sent more than %d times in an hour","Nemůžete odeslat více jak %d za hodinu"
"The sender name cannot be empty.","Jméno odesílatele nesmí být prázdné."
"There were some problems with the data.","Nějaké problémy s daty."
"You have exceeded limit of %d sends in an hour","Překročili jste limit %d pro posílání za hodinu"
"You have to specify at least one recipient","Musíte zadat alespoň jednoho příjemce"
